Time,Human Count,Violence Alert
"19/11/2024, 11:38:41",0
"19/11/2024, 11:38:41",0
"19/11/2024, 11:38:41",1
"19/11/2024, 11:38:41",2
"19/11/2024, 11:38:41",2
"19/11/2024, 11:38:41",2
"19/11/2024, 11:38:41",2
"19/11/2024, 11:38:41",2
"19/11/2024, 11:38:42",2
"19/11/2024, 11:38:42",2
"19/11/2024, 11:38:43",2
"19/11/2024, 11:38:43",2
"19/11/2024, 11:38:43",2
"19/11/2024, 11:38:43",2
"19/11/2024, 11:38:43",2
"19/11/2024, 11:38:43",2
"19/11/2024, 11:38:43",2
"19/11/2024, 11:38:44",2
"19/11/2024, 11:38:44",2
"19/11/2024, 11:38:44",2
"19/11/2024, 11:38:44",2
"19/11/2024, 11:38:44",2
"19/11/2024, 11:38:45",2
"19/11/2024, 11:38:45",2
"19/11/2024, 11:38:45",2
"19/11/2024, 11:38:45",2
"19/11/2024, 11:38:46",2
"19/11/2024, 11:38:46",2
"19/11/2024, 11:38:46",2
"19/11/2024, 11:38:46",2
"19/11/2024, 11:38:46",2
"19/11/2024, 11:38:46",2
"19/11/2024, 11:38:46",2
"19/11/2024, 11:38:46",2
"19/11/2024, 11:38:47",2
"19/11/2024, 11:38:47",2
"19/11/2024, 11:38:47",2
"19/11/2024, 11:38:48",2
"19/11/2024, 11:38:48",2
"19/11/2024, 11:38:48",2
"19/11/2024, 11:38:48",2
"19/11/2024, 11:38:48",2
"19/11/2024, 11:38:48",2
"19/11/2024, 11:38:48",2
"19/11/2024, 11:38:49",2
"19/11/2024, 11:38:49",2
"19/11/2024, 11:38:49",2
"19/11/2024, 11:38:49",2
"19/11/2024, 11:38:50",2
"19/11/2024, 11:38:50",2
"19/11/2024, 11:38:50",2
"19/11/2024, 11:38:50",2
"19/11/2024, 11:38:50",2
"19/11/2024, 11:38:51",2
"19/11/2024, 11:38:51",2
"19/11/2024, 11:38:51",2
"19/11/2024, 11:38:51",2
"19/11/2024, 11:38:51",1
"19/11/2024, 11:38:51",1
"19/11/2024, 11:38:51",1
"19/11/2024, 11:38:51",1
"19/11/2024, 11:38:51",1
"19/11/2024, 11:38:52",1
"19/11/2024, 11:38:52",1
"19/11/2024, 11:38:52",1
"19/11/2024, 11:38:52",1
"19/11/2024, 11:38:53",1
"19/11/2024, 11:38:53",1
"19/11/2024, 11:38:53",2
"19/11/2024, 11:38:53",2
"19/11/2024, 11:38:53",1
"19/11/2024, 11:38:54",2
"19/11/2024, 11:38:54",2
"19/11/2024, 11:38:54",1
"19/11/2024, 11:38:54",1
"19/11/2024, 11:38:54",1
"19/11/2024, 11:38:54",2
"19/11/2024, 11:38:54",2
"19/11/2024, 11:38:54",2
"19/11/2024, 11:38:54",2
"19/11/2024, 11:38:55",2
"19/11/2024, 11:38:55",2
"19/11/2024, 11:38:55",1
"19/11/2024, 11:38:55",1
"19/11/2024, 11:38:55",1
"19/11/2024, 11:38:56",1
"19/11/2024, 11:38:56",1
