Time,Human Count,Violence Alert
"19/11/2024, 11:38:56",1
"19/11/2024, 11:38:56",1
"19/11/2024, 11:38:56",1
"19/11/2024, 11:38:57",1
"19/11/2024, 11:38:57",1
"19/11/2024, 11:38:57",1
"19/11/2024, 11:38:57",1
"19/11/2024, 11:38:57",1
"19/11/2024, 11:38:57",2
"19/11/2024, 11:38:57",2
"19/11/2024, 11:38:57",2
"19/11/2024, 11:38:58",2
"19/11/2024, 11:38:58",2
"19/11/2024, 11:38:58",2
"19/11/2024, 11:38:58",2
"19/11/2024, 11:38:58",2
"19/11/2024, 11:38:58",2
"19/11/2024, 11:38:59",1
"19/11/2024, 11:38:59",2
"19/11/2024, 11:38:59",2
"19/11/2024, 11:38:59",2
"19/11/2024, 11:39:00",1
"19/11/2024, 11:39:00",1
"19/11/2024, 11:39:00",1
"19/11/2024, 11:39:00",1
"19/11/2024, 11:39:00",1
"19/11/2024, 11:39:00",1
"19/11/2024, 11:39:00",1
"19/11/2024, 11:39:00",1
"19/11/2024, 11:39:01",1
"19/11/2024, 11:39:01",2
"19/11/2024, 11:39:01",2
"19/11/2024, 11:39:01",2
"19/11/2024, 11:39:01",2
"19/11/2024, 11:39:01",2
"19/11/2024, 11:39:01",2
"19/11/2024, 11:39:02",2
"19/11/2024, 11:39:02",2
"19/11/2024, 11:39:02",2
"19/11/2024, 11:39:02",2
"19/11/2024, 11:39:03",1
"19/11/2024, 11:39:03",1
"19/11/2024, 11:39:03",1
"19/11/2024, 11:39:03",1
"19/11/2024, 11:39:03",1
"19/11/2024, 11:39:03",1
"19/11/2024, 11:39:03",1
"19/11/2024, 11:39:04",1
"19/11/2024, 11:39:04",1
"19/11/2024, 11:39:04",0
"19/11/2024, 11:39:04",1
"19/11/2024, 11:39:04",1
"19/11/2024, 11:39:04",1
"19/11/2024, 11:39:04",1
"19/11/2024, 11:39:04",1
"19/11/2024, 11:39:04",1
"19/11/2024, 11:39:05",2
"19/11/2024, 11:39:05",2
"19/11/2024, 11:39:05",2
"19/11/2024, 11:39:05",1
"19/11/2024, 11:39:06",1
"19/11/2024, 11:39:06",1
"19/11/2024, 11:39:06",1
"19/11/2024, 11:39:06",1
"19/11/2024, 11:39:06",1
"19/11/2024, 11:39:07",0
"19/11/2024, 11:39:07",1
"19/11/2024, 11:39:07",1
"19/11/2024, 11:39:07",1
"19/11/2024, 11:39:07",1
"19/11/2024, 11:39:07",1
"19/11/2024, 11:39:07",1
"19/11/2024, 11:39:07",1
"19/11/2024, 11:39:07",1
"19/11/2024, 11:39:08",2
"19/11/2024, 11:39:08",2
"19/11/2024, 11:39:08",2
"19/11/2024, 11:39:08",2
"19/11/2024, 11:39:08",1
"19/11/2024, 11:39:09",1
"19/11/2024, 11:39:09",2
"19/11/2024, 11:39:09",2
"19/11/2024, 11:39:09",2
"19/11/2024, 11:39:09",1
"19/11/2024, 11:39:10",2
"19/11/2024, 11:39:10",2
"19/11/2024, 11:39:10",1
"19/11/2024, 11:39:10",1
"19/11/2024, 11:39:10",1
"19/11/2024, 11:39:10",1
"19/11/2024, 11:39:10",1
"19/11/2024, 11:39:10",1
"19/11/2024, 11:39:11",1
"19/11/2024, 11:39:11",1
"19/11/2024, 11:39:11",1
"19/11/2024, 11:39:11",1
"19/11/2024, 11:39:11",2
"19/11/2024, 11:39:11",2
"19/11/2024, 11:39:12",2
"19/11/2024, 11:39:12",2
"19/11/2024, 11:39:12",2
"19/11/2024, 11:39:12",2
"19/11/2024, 11:39:13",2
"19/11/2024, 11:39:13",2
"19/11/2024, 11:39:13",2
"19/11/2024, 11:39:13",2
"19/11/2024, 11:39:13",2
"19/11/2024, 11:39:13",2
"19/11/2024, 11:39:13",2
"19/11/2024, 11:39:13",2
"19/11/2024, 11:39:14",2
"19/11/2024, 11:39:14",2
"19/11/2024, 11:39:14",2
"19/11/2024, 11:39:14",2
"19/11/2024, 11:39:14",2
"19/11/2024, 11:39:14",2
"19/11/2024, 11:39:14",1
"19/11/2024, 11:39:15",2
"19/11/2024, 11:39:15",2
"19/11/2024, 11:39:15",2
"19/11/2024, 11:39:15",1
"19/11/2024, 11:39:16",1
"19/11/2024, 11:39:16",1
"19/11/2024, 11:39:16",1
"19/11/2024, 11:39:16",1
"19/11/2024, 11:39:16",2
"19/11/2024, 11:39:16",2
"19/11/2024, 11:39:16",2
"19/11/2024, 11:39:17",2
"19/11/2024, 11:39:17",2
"19/11/2024, 11:39:17",1
"19/11/2024, 11:39:17",1
"19/11/2024, 11:39:17",1
"19/11/2024, 11:39:17",1
"19/11/2024, 11:39:17",1
"19/11/2024, 11:39:17",2
"19/11/2024, 11:39:18",2
"19/11/2024, 11:39:18",2
"19/11/2024, 11:39:18",2
"19/11/2024, 11:39:18",2
"19/11/2024, 11:39:19",2
"19/11/2024, 11:39:19",2
"19/11/2024, 11:39:19",1
"19/11/2024, 11:39:19",1
"19/11/2024, 11:39:19",2
"19/11/2024, 11:39:19",2
"19/11/2024, 11:39:20",2
"19/11/2024, 11:39:20",2
"19/11/2024, 11:39:20",2
"19/11/2024, 11:39:20",2
"19/11/2024, 11:39:20",1
"19/11/2024, 11:39:20",2
"19/11/2024, 11:39:20",2
"19/11/2024, 11:39:20",2
"19/11/2024, 11:39:20",2
"19/11/2024, 11:39:21",0
"19/11/2024, 11:39:21",1
"19/11/2024, 11:39:21",1
"19/11/2024, 11:39:21",1
"19/11/2024, 11:39:21",1
"19/11/2024, 11:39:22",1
"19/11/2024, 11:39:22",1
"19/11/2024, 11:39:22",2
"19/11/2024, 11:39:22",2
